AE1,AE2,AE3,fdc_id,description
1.9177532,1.9967225,4.807588,2617421,CEREAL
1.9177532,1.9967225,4.807588,2617422,CEREAL
1.9337362,3.2549863,5.6329994,2511629,CEREAL
3.7383003,3.362936,5.2564044,1952060,CEREAL
1.9300623,2.2412467,5.5080657,1889809,CEREAL
2.447578,1.8798764,4.339828,2171100,CEREAL
1.3868926,1.9419752,5.503287,2476995,CEREAL
2.029139,2.4202588,5.68477,2477341,CEREAL
2.9964862,2.885007,6.1508226,2107531,CEREAL
2.063418,2.6476772,6.2998695,1864038,CEREAL
2.2410746,2.1842685,5.66751,2642006,CEREAL
2.447578,1.8798764,4.339828,2142860,CEREAL
4.3105035,2.7098944,4.1746635,2015814,CEREAL
1.9145693,1.7901322,4.7129383,2140770,CEREAL
3.3839035,3.6770167,7.1625137,1635920,CEREAL
3.3839035,3.6770167,7.1625137,1635964,CEREAL
2.2410746,2.1842685,5.66751,2175559,CEREAL
1.984476,2.0570755,5.5248804,2175879,CEREAL
1.9654084,1.9642438,4.8852053,2025357,CEREAL
1.984476,2.0570755,5.5248804,1663505,CEREAL
2.3528028,3.0000362,3.351235,702664,CEREAL
2.520608,1.9702256,4.4340386,2070798,CEREAL
1.9177532,1.9967225,4.807588,2617423,CEREAL
2.3799553,3.1571226,6.4961805,2487958,CEREAL
1.9654084,1.9642438,4.8852053,1939929,CEREAL
1.0208285,1.8166994,2.9801576,453840,CEREAL
1.8835188,2.2569423,5.667607,2511635,CEREAL
2.3271952,2.4442344,5.1409993,2467907,CEREAL
3.600926,3.4410129,6.9359164,2175813,CEREAL
3.2955322,2.9448223,4.8546753,2015809,CEREAL
2.3271952,2.4442344,5.1409993,2470812,CEREAL
2.189457,2.6778097,6.1936855,1864070,CEREAL
2.7166338,2.2538042,4.8894973,2107800,CEREAL
1.7186271,1.4158268,3.9984179,2171191,CEREAL
2.447578,1.8798764,4.339828,2142492,CEREAL
3.2906885,3.5926638,7.230409,1727086,CEREAL
1.7692728,1.7775933,5.212806,1926949,CEREAL
3.6161633,3.4421787,6.9088774,2089085,CEREAL
2.3889098,2.300077,5.095243,2671774,CEREAL
2.3115468,2.3555562,4.629969,2027476,CEREAL
2.957499,2.7814875,4.562233,370663,CEREAL
0.5046755,2.396598,2.9667544,2469488,CEREAL
2.6501813,2.3403873,4.9018803,2015799,CEREAL
