AE1,AE2,AE3,fdc_id,description
4.6994905,6.782739,4.2476296,2617421,CEREAL
4.6994905,6.782739,4.2476296,2617422,CEREAL
5.2478676,9.548382,5.3066545,2511629,CEREAL
1.9602847,2.4859874,1.9313254,1952060,CEREAL
5.399294,8.228828,4.6701546,1889809,CEREAL
3.4381683,3.897708,3.1646922,2171100,CEREAL
6.3482313,9.783,5.5643187,2476995,CEREAL
5.3765736,8.345598,4.6503415,2477341,CEREAL
4.4500256,6.3904104,3.6753561,2107531,CEREAL
5.9661784,9.471808,5.0600023,1864038,CEREAL
5.2329297,7.360284,4.38646,2642006,CEREAL
3.4381683,3.897708,3.1646922,2142860,CEREAL
0.7517091,0.0,0.43929106,2015814,CEREAL
4.686859,6.377779,4.171813,2140770,CEREAL
4.481435,7.119382,3.5285344,1635920,CEREAL
4.481435,7.119382,3.5285344,1635964,CEREAL
5.2329297,7.360284,4.38646,2175559,CEREAL
5.4398403,7.91018,4.557149,2175879,CEREAL
4.6322527,6.6349773,4.0116825,2025357,CEREAL
5.4398403,7.91018,4.557149,1663505,CEREAL
1.911644,3.6921916,3.1026945,702664,CEREAL
3.406751,3.8901455,3.1375222,2070798,CEREAL
4.6994905,6.782739,4.2476296,2617423,CEREAL
5.448697,9.119889,4.717948,2487958,CEREAL
4.6322527,6.6349773,4.0116825,1939929,CEREAL
4.175722,6.903089,5.031751,453840,CEREAL
5.740551,8.688366,5.046536,2511635,CEREAL
4.298705,6.2358527,3.9769375,2467907,CEREAL
4.1927032,6.055112,3.2202218,2175813,CEREAL
2.2756138,2.7635949,2.311704,2015809,CEREAL
4.298705,6.2358527,3.9769375,2470812,CEREAL
5.5608783,8.784701,4.6645885,1864070,CEREAL
3.5065644,4.2072277,3.1286817,2107800,CEREAL
4.326432,5.50403,4.029266,2171191,CEREAL
3.4381683,3.897708,3.1646922,2142492,CEREAL
4.839782,7.5685744,3.8821137,1727086,CEREAL
5.539666,7.8810797,4.7039843,1926949,CEREAL
4.1079636,5.9144826,3.135343,2089085,CEREAL
4.1461587,5.806591,3.6283703,2671774,CEREAL
3.7830725,5.558114,3.6114657,2027476,CEREAL
2.472071,3.3647194,2.5476737,370663,CEREAL
4.882502,9.548027,6.354027,2469488,CEREAL
3.5584166,4.7016187,3.131054,2015799,CEREAL
2.4978173,2.8587756,2.162395,1928911,CEREAL
5.6589513,8.393606,5.020133,2168954,CEREAL
5.4398403,7.91018,4.557149,1912505,CEREAL
5.4398403,7.91018,4.557149,2089083,CEREAL
4.1461587,5.806591,3.6283703,2089087,CEREAL
5.4398403,7.91018,4.557149,2671976,CEREAL
5.7197814,8.850394,5.0472517,2587822,CEREAL
4.3266473,5.829373,4.0912,2038207,CEREAL
3.2047424,4.2877727,2.9928756,370659,CEREAL
1.9364138,2.2243822,1.8793168,2487953,CEREAL
6.13564,8.579145,5.724238,2487964,CEREAL
3.1057715,3.4361594,3.9938638,2079252,CEREAL
5.2329297,7.360284,4.38646,2175897,CEREAL
4.1079636,5.9144826,3.135343,2107140,CEREAL
3.3162305,3.7272904,2.9525363,604467,CEREAL
4.9626865,7.6989155,4.1327806,2477386,CEREAL
5.8801055,8.235648,5.309755,2149323,CEREAL
4.1927032,6.055112,3.2202218,1747324,CEREAL
4.1927032,6.055112,3.2202218,2093405,CEREAL
3.4381683,3.897708,3.1646922,2153366,CEREAL
3.4740436,4.008592,3.1999948,1947654,CEREAL
5.4398403,7.91018,4.557149,1912504,CEREAL
4.1954575,5.6088657,3.7328868,370639,CEREAL
5.479433,7.972024,4.942753,2487962,CEREAL
4.7029815,8.136486,4.8236775,2471601,CEREAL
5.2329297,7.360284,4.38646,2175566,CEREAL
2.4329832,3.4984577,2.4537208,2175882,CEREAL
3.4381683,3.897708,3.1646922,2171323,CEREAL
5.5013223,9.368179,5.206492,2061918,CEREAL
1.7729988,2.0064297,1.6826526,2015808,CEREAL
5.6906033,8.863457,5.0591106,2640903,CEREAL
3.4740436,4.008592,3.1999948,1967905,CEREAL
3.4203942,5.2004576,3.029823,2475884,CEREAL
4.407592,5.8892503,3.9771607,2089093,CEREAL
4.481435,7.119382,3.5285344,2674184,CEREAL
5.8801055,8.235648,5.309755,2155925,CEREAL
5.451597,7.833286,4.6406465,2124897,CEREAL
4.9528127,8.797768,6.0959806,2169577,"CEREAL BARS, CEREAL"
3.3362565,4.8675323,4.2024465,2196492,"CEREAL COMBINATION GRANOLA, CEREAL"
4.972183,8.156329,5.9818387,2484179,"CEREAL WAFER STRAWS, CEREAL"
9.18155,11.566245,11.665126,2144873,"CEREAL MILK POPCAKES, CEREAL MILK"
5.6822414,9.301224,6.7590976,2591370,"FRUITY CEREAL CUPCAKES, FRUITY CEREAL"
5.0839467,6.0667405,6.059897,575312,ORGANIC CEREAL
4.5906796,5.583325,5.4945025,575311,ORGANIC CEREAL
4.967298,8.669558,5.660457,2169579,CEREAL BARS
5.2329297,7.360284,4.38646,2595965,CORN CEREAL
5.2329297,7.360284,4.38646,2611299,CORN CEREAL
5.2329297,7.360284,4.38646,2611338,CORN CEREAL
5.2329297,7.360284,4.38646,2657668,CORN CEREAL
5.2329297,7.360284,4.38646,2596015,CORN CEREAL
4.382928,5.7137675,3.973068,2595889,ORIGINAL CEREAL
4.382928,5.7137675,3.973068,2615331,ORIGINAL CEREAL
3.9623988,5.8573866,3.7730024,2626154,ALMONDS CEREAL
0.99120164,0.0,0.3391143,2595873,BUDS CEREAL
3.298962,5.5920568,5.237583,545450,CEREAL + MILK
3.6474292,4.8288035,3.7772229,2495469,CEREAL BAR
4.8879447,6.9264445,4.9330645,373610,CEREAL BARS
4.967298,8.669558,5.660457,2169575,CEREAL BARS
4.967298,8.669558,5.660457,2171254,CEREAL BARS
4.250546,5.881714,4.4701242,2024763,CEREAL BARS
4.509645,5.943693,4.058198,1947494,CEREAL IN A CUP
3.4721913,3.4846852,3.5611017,1864216,CEREAL SNACKERS
6.1965837,9.379434,5.278625,1944658,CEREAL WITH MARSHMALLOWS!
6.1075664,9.18699,5.6263404,1864229,"CEREAL, CHOCOLATE"
5.9804535,9.232295,5.452039,1927239,"CEREAL, CHOCOLATE"
5.644141,9.161934,5.127556,1933052,"CEREAL, CHOCOLATE"
6.12127,9.034237,5.5767665,2487966,"CEREAL, CHOCOLATE"
3.9081635,6.3080215,4.0913553,1633793,"CEREAL, CHOCOLATE"
4.37156,7.127414,4.3542714,2477383,"CEREAL, CINNAMON"
5.0682487,7.6039667,4.5132647,1636148,"CEREAL, FRUITY"
5.1174936,8.87219,4.226178,2477387,"CEREAL, HONEY"
5.185095,7.9313,4.840914,2477635,"CEREAL, ORIGINAL"
4.139756,5.8295155,3.8152878,1864248,"CEREAL, STRAWBERRIES"
3.4721913,3.4846852,3.5611017,1810930,"CEREAL, STRAWBERRY"
4.139756,5.8295155,3.8152878,2653147,"CEREAL, STRAWBERRY"
6.1654615,9.847958,5.301277,2287123,"CEREALS, BERRY"
13.760716,12.763941,16.384193,2517161,Cheerios Cereal
1.7914467,2.0495818,1.7995379,2738631,Cheerios Cereal
2.3929818,3.1895375,2.3400555,759418,Cheerios Cereal
3.1934838,3.593054,3.4751954,2670307,CINNAMON CEREAL
5.979871,8.755583,5.1684766,2107828,CORN CEREAL
5.3600807,7.653071,4.5425873,2091474,CORN CEREAL
4.5608735,4.0172133,4.8797398,2442530,CORN CEREAL
5.1161904,7.265451,4.579921,2017429,CORN CEREAL
6.0143404,8.915157,5.5097775,562748,CORN CEREAL
2.8806272,3.5063276,2.5734081,2083831,FLAKES CEREAL
4.558404,6.7242556,4.116031,2626151,FROSTED CEREAL
5.160412,7.0602016,6.198197,1852660,FROSTED CEREAL
3.8516445,5.4102664,3.7306178,2089234,GRANOLA CEREAL
2.5522542,3.4528763,3.329271,1914207,GRANOLA CEREAL
2.2504537,3.6223533,3.428685,409997,GRANOLA CEREAL
2.6404798,3.928444,3.8699691,2070577,GRANOLA CEREAL
2.6404798,3.928444,3.8699691,2070654,GRANOLA CEREAL
4.1577697,4.0122137,4.5728354,1636237,HOT CEREAL
5.2068906,4.9165454,5.9161053,1630747,HOT CEREAL
4.1577697,4.0122137,4.5728354,2673931,HOT CEREAL
5.1543446,5.3571873,5.5447946,2617319,HOT CEREAL
5.2068906,4.9165454,5.9161053,1636303,HOT CEREAL
3.4401147,4.909002,2.8856957,2752074,Kix Cereal
3.4401147,4.909002,2.8856957,2752152,Kix Cereal
5.2513065,7.5036726,4.437762,2595978,MARSHMALLOWS CEREAL
4.587464,6.800596,4.044109,2614506,MINIS CEREAL
3.3550508,3.5419328,3.3855848,2017873,MULTIGRAIN CEREAL
3.3888547,3.6318834,3.1811848,2616196,MULTIGRAIN CEREAL
5.52669,8.495292,4.944463,2470754,O'S CEREAL
2.2155359,2.9697464,2.0320227,2118100,OAT CEREAL
5.0931883,5.18856,5.35068,2597449,ORGANIC CEREAL
4.1954575,5.6088657,3.7328868,370655,ORGANIC CEREAL
4.159251,5.5923734,3.962465,370632,ORGANIC CEREALS
2.7278388,3.0977302,2.2168252,2567824,ORIGINAL CEREAL
1.1975851,0.0,1.5280179,2594634,ORIGINAL CEREAL
4.52632,6.7512403,3.6312573,2595859,ORIGINAL CEREAL
2.586277,1.8522679,2.8460834,2607681,ORIGINAL CEREAL
4.52632,6.7512403,3.6312573,2611316,ORIGINAL CEREAL
3.9208052,5.8017783,4.2674246,1898513,QUINOA CEREAL
3.6063852,3.7077692,4.5344014,2491163,SUPER CEREAL
4.3271337,4.955695,5.4623876,2113417,SUPERFOOD CEREAL
5.120735,7.529187,4.5576067,1635967,SWEETENED CEREAL
4.901137,7.083135,4.345027,2477273,SWEETENED CEREAL
2.5149305,2.7893136,2.133269,1928913,THE ORIGINAL CEREAL
3.2965772,4.139524,2.8339555,2687926,Total Cereal
4.926633,7.472211,4.4769254,2745285,Trix Cereal
5.2038894,7.751756,4.5860777,759416,Trix Cereal
4.926633,7.472211,4.4769254,1462033,Trix Cereal
4.926633,7.472211,4.4769254,2745277,Trix Cereal
4.926633,7.472211,4.4769254,2746408,Trix Cereal
4.926633,7.472211,4.4769254,2747468,Trix Cereal
3.4849286,4.752788,3.2877257,1885973,"WEGMANS, CEREAL"
3.1336162,4.1259494,2.3534467,758004,Wheaties Cereal
5.172355,4.3783855,7.379074,2509069,"CINNAMON CEREAL WITH COLLAGEN & MCTS, CINNAMON CEREAL"
5.433304,11.821208,8.811623,2671005,"FRUITY CEREAL CANDY WAFERS, FRUITY CEREAL"
4.966299,9.140393,6.776412,2561058,"FRUITY CEREAL COOKIE DOUGH, FRUITY CEREAL"
5.5948877,8.746056,5.8345947,2661010,"FRUITY CEREAL CRISPY BITES, FRUITY CEREAL"
3.12594,2.777161,5.4482675,2374125,"FRUITY CEREAL PROTEIN BUCKBAR, FRUITY CEREAL"
17.366222,15.870587,20.869848,2582068,"FRUITY CEREAL PROTEIN SHAKE, FRUITY CEREAL"
5.0652585,7.190338,4.679258,1635850,"HOLIDAY SPRINKLES SWEETENED CEREAL, SWEETENED CEREAL"
5.177985,9.374063,4.3443127,2673044,"HONEY GRAHAM CEREAL, HONEY GRAHAM CEREAL"
