fdc_id,description,brand_owner,food_category,Energy,Protein,"Carbohydrate, by difference",Total lipid (fat),"Fatty acids, total saturated","Fiber, total dietary",Total Sugars,"Sodium, Na"
2617421,CEREAL,"General Mills, Inc.",Cereal,389.0,5.56,86.1,4.17,0.0,5.6,33.3,417.0
2617422,CEREAL,"General Mills, Inc.",Cereal,389.0,5.56,86.1,4.17,0.0,5.6,33.3,417.0
2511629,CEREAL,"Post Consumer Brands, LLC",Cereal,438.0,3.12,78.1,9.38,7.81,3.1,40.6,656.0
1952060,CEREAL,"Post Consumer Brands, LLC",Cereal,393.0,10.7,71.4,5.36,0.0,10.7,0.0,500.0
1889809,CEREAL,"Post Consumer Brands, LLC",Cereal,400.0,3.33,86.7,3.33,0.0,3.3,36.7,533.0
2171100,CEREAL,The Kellogg Company ,Cereal,322.0,8.47,79.7,1.69,0.0,11.9,28.8,339.0
2476995,CEREAL,"Post Consumer Brands, LLC",Cereal,400.0,3.33,90.0,3.33,0.0,0.0,50.0,500.0
2477341,CEREAL,"Post Consumer Brands, LLC",Cereal,400.0,3.33,86.7,5.0,0.0,3.3,36.7,567.0
2107531,CEREAL,The Kellogg Company ,Cereal,379.0,6.9,86.2,0.0,0.0,0.0,10.3,586.0
1864038,CEREAL,"Post Consumer Brands, LLC",Cereal,407.0,3.7,88.9,3.7,0.0,0.0,40.7,630.0
2642006,CEREAL,"President Baking Company, Inc.",Cereal,351.0,5.41,89.2,0.0,0.0,2.7,32.4,514.0
2142860,CEREAL,The Kellogg Company ,Cereal,322.0,8.47,79.7,1.69,0.0,11.9,28.8,339.0
2015814,CEREAL,Nature's Path Foods Inc.,Cereal,267.0,10.0,80.0,3.33,0.0,43.3,20.0,433.0
2140770,CEREAL,The Kellogg Company ,Cereal,358.0,5.66,84.9,1.89,0.0,7.5,37.7,396.0
1635920,CEREAL,"General Mills, Inc.",Cereal,387.0,6.45,83.9,3.23,0.0,6.5,29.0,774.0
1635964,CEREAL,"General Mills, Inc.",Cereal,387.0,6.45,83.9,3.23,0.0,6.5,29.0,774.0
2175559,CEREAL,The Kellogg Company ,Cereal,351.0,5.41,89.2,0.0,0.0,2.7,32.4,514.0
2175879,CEREAL,The Kellogg Company ,Cereal,379.0,3.45,89.7,0.0,0.0,3.4,34.5,517.0
2025357,CEREAL,"Schnuck Markets, Inc.",Cereal,379.0,3.45,86.2,3.45,0.0,10.3,37.9,466.0
1663505,CEREAL,The Kellogg Company ,Cereal,379.0,3.45,89.7,0.0,0.0,3.4,34.5,517.0
702664,CEREAL,THE SOULFULL PROJECT,Cereal,492.0,11.5,65.6,19.7,2.46,9.8,14.8,262.0
2070798,CEREAL,Raley's,Cereal,322.0,8.47,78.0,1.69,0.0,11.9,28.8,356.0
2617423,CEREAL,"General Mills, Inc.",Cereal,389.0,5.56,86.1,4.17,0.0,5.6,33.3,417.0
2487958,CEREAL,"Post Consumer Brands, LLC",Cereal,419.0,3.23,80.6,8.06,0.0,3.2,41.9,710.0
1939929,CEREAL,"Iga, Inc.",Cereal,379.0,3.45,86.2,3.45,0.0,10.3,37.9,466.0
453840,CEREAL,FLIPS,Cereal,438.0,6.25,75.0,12.5,6.25,4.2,33.3,229.0
2511635,CEREAL,"Post Consumer Brands, LLC",Cereal,381.0,4.76,85.7,3.57,0.0,0.0,40.5,524.0
2467907,CEREAL,"Post Consumer Brands, LLC",Cereal,389.0,8.33,80.6,4.17,0.0,5.6,33.3,444.0
2175813,CEREAL,The Kellogg Company ,Cereal,357.0,7.14,85.7,0.0,0.0,2.4,9.52,714.0
2015809,CEREAL,Nature's Path Foods Inc.,Cereal,400.0,13.3,76.7,3.33,0.0,10.0,10.0,383.0
2470812,CEREAL,"Post Consumer Brands, LLC",Cereal,389.0,8.33,80.6,4.17,0.0,5.6,33.3,444.0
1864070,CEREAL,"Post Consumer Brands, LLC",Cereal,407.0,3.7,88.9,3.7,0.0,3.7,40.7,630.0
2107800,CEREAL,The Kellogg Company ,Cereal,322.0,8.47,78.0,1.69,0.0,11.9,30.5,424.0
2171191,CEREAL,The Kellogg Company ,Cereal,350.0,6.67,85.0,2.5,0.0,8.3,35.0,283.0
2142492,CEREAL,The Kellogg Company ,Cereal,322.0,8.47,79.7,1.69,0.0,11.9,28.8,339.0
1727086,CEREAL,"General Mills, Inc.",Cereal,367.0,6.67,83.3,3.33,0.0,3.3,30.0,767.0
1926949,CEREAL,The Kellogg Company ,Cereal,367.0,3.33,90.0,0.0,0.0,3.3,36.7,467.0
2089085,CEREAL,The Kellogg Company ,Cereal,357.0,7.14,85.7,0.0,0.0,3.6,10.7,714.0
2671774,CEREAL,The Kellogg Company ,Cereal,375.0,6.25,84.4,3.12,0.0,9.4,31.2,469.0
