fdc_id,description,brand_owner,serving_size,serving_size_unit,food_category,Protein,Total lipid (fat),"Carbohydrate, by difference",Energy,Total Sugars,"Fiber, total dietary","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn",Vitamin D (D2 + D3),"Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Vitamin B-6,"Folate, total",Vitamin B-12,Folic acid,"Sugars, added",Cholesterol,"Fatty acids, total trans","Fatty acids, total saturated","Vitamin A, RAE","Vitamin A, IU",Pantothenic acid,"Vitamin D (D2 + D3), International Units","Copper, Cu","Manganese, Mn","Selenium, Se","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fiber, soluble","Carbohydrate, other","Fiber, insoluble",Total sugar alcohols,"Iodine, I",Vitamin D3 (cholecalciferol),Biotin,Vitamin K (phylloquinone),Vitamin E,"Folate, DFE",Ash,Water,Vitamin E (label entry primarily),"Chlorine, Cl","Chromium, Cr","Molybdenum, Mo",Starch,Vitamin E (alpha-tocopherol),"Sugars, Total","Alcohol, ethyl","Choline, total",Tryptophan,Threonine,Isoleucine,Leucine,Lysine,Methionine,Cystine,Phenylalanine,Tyrosine,Valine,Arginine,Histidine,Alanine,Aspartic acid,Glutamic acid,Glycine,Proline,Serine,"Sugars, intrinsic"
2617421,CEREAL,"General Mills, Inc.",36.0,GRM,Cereal,5.56,4.17,86.1,389.0,33.3,5.6,361.0,10.0,44.0,167.0,278.0,417.0,8.33,6.0,16.7,1.0,0.472,5.56,1.11,222.0,3.33,125.0,33.3,0.0,0.0,0.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2617422,CEREAL,"General Mills, Inc.",36.0,GRM,Cereal,5.56,4.17,86.1,389.0,33.3,5.6,361.0,10.0,44.0,167.0,278.0,417.0,8.33,6.0,16.7,1.0,0.472,5.56,1.11,222.0,3.33,125.0,33.3,0.0,0.0,0.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511629,CEREAL,"Post Consumer Brands, LLC",32.0,MG,Cereal,3.12,9.38,78.1,438.0,40.6,3.1,250.0,14.1,,62.0,94.0,656.0,3.75,,0.0,2.0,,3.75,0.5,,,,,0.0,0.0,7.81,,0.0,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952060,CEREAL,"Post Consumer Brands, LLC",28.0,g,Cereal,10.7,5.36,71.4,393.0,0.0,10.7,357.0,51.4,,357.0,339.0,500.0,18.8,,21.4,1.0,2.12,25.0,1.79,,5.36,,,0.0,0.0,0.0,,1790.0,,143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889809,CEREAL,"Post Consumer Brands, LLC",30.0,g,Cereal,3.33,3.33,86.7,400.0,36.7,3.3,0.0,30.0,,,100.0,533.0,12.5,,20.0,1.0,1.42,16.7,1.67,667.0,5.0,,,0.0,0.0,0.0,,1670.0,,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171100,CEREAL,The Kellogg Company ,59.0,g,Cereal,8.47,1.69,79.7,322.0,28.8,11.9,34.0,3.05,102.0,169.0,475.0,339.0,2.54,,,,,5.08,,,,,15.3,0.0,0.0,0.0,,,,0.0,0.678,3.0,12.0,0.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476995,CEREAL,"Post Consumer Brands, LLC",30.0,g,Cereal,3.33,3.33,90.0,400.0,50.0,0.0,0.0,12.0,,,133.0,500.0,3.0,,0.0,2.0,,,,,,,,0.0,0.0,0.0,,0.0,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477341,CEREAL,"Post Consumer Brands, LLC",30.0,g,Cereal,3.33,5.0,86.7,400.0,36.7,3.3,0.0,15.0,,67.0,100.0,567.0,3.0,,0.0,2.0,,4.0,0.533,,,,,0.0,0.0,0.0,,0.0,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2107531,CEREAL,The Kellogg Company ,29.0,g,Cereal,6.9,0.0,86.2,379.0,10.3,0.0,345.0,24.8,,,86.0,586.0,7.76,,82.8,1.0,1.47,17.2,1.38,,1.66,,,0.0,0.0,0.0,,1380.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1864038,CEREAL,"Post Consumer Brands, LLC",27.0,g,Cereal,3.7,3.7,88.9,407.0,40.7,0.0,0.0,6.67,,,74.0,630.0,5.56,,0.0,1.0,1.57,18.5,1.85,370.0,5.56,,,0.0,0.0,0.0,,2780.0,,148.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
